Date,TransactionID,ProductID,Quantity,UnitPrice,StoreLocation,PaymentType,PromotionApplied,Weather,Temperature,StaffPerformanceRating,CustomerFeedback,DeliveryTime_min,OrderType,CustomerID,StaffID,DayOfWeek,TotalSales
2023-01-01 00:00:00,0,0,2,12.532304149429804,South,Cash,True,Rainy,20.654913930695127,Poor,Neutral,30,In Store,0,0,Sunday,25.064608298859607
2023-01-01 01:00:00,1,1,1,7.083069895947755,South,Cash,False,Rainy,23.54949697205013,Average,Positive,33,In Store,1,1,Sunday,7.083069895947755
2023-01-01 02:00:00,2,2,5,6.736064100180581,North,Cash,True,Rainy,27.154342182681738,Excellent,unknown,43,Phone Order,2,2,Sunday,33.68032050090291
2023-01-01 03:00:00,3,3,2,7.314823479246191,North,Cash,False,Cloudy,20.13748325275725,Poor,Positive,32,Online Order,3,3,Sunday,14.629646958492382
2023-01-01 04:00:00,4,4,1,7.577727219906418,East,Credit Card,True,Cloudy,23.02098654190831,Good,Neutral,58,In Store,4,4,Sunday,7.577727219906418
2023-01-01 05:00:00,5,1,2,14.568156389954508,West,Cash,True,Rainy,27.154342182681738,Poor,Neutral,30,Phone Order,5,5,Sunday,29.136312779909016
2023-01-01 06:00:00,6,1,3,16.114718754118677,North,Credit Card,False,Cloudy,29.201027697832565,Excellent,unknown,15,In Store,6,6,Sunday,48.34415626235603
2023-01-01 07:00:00,7,3,5,12.94987284389628,West,Online,False,Sunny,27.154342182681738,Average,Positive,16,Online Order,7,7,Sunday,64.74936421948141
2023-01-01 08:00:00,8,3,4,17.435265988182366,East,Cash,True,Rainy,27.154342182681738,Poor,Neutral,29,Phone Order,8,8,Sunday,69.74106395272946
2023-01-01 09:00:00,9,5,2,19.8689484010045,West,Credit Card,False,Rainy,20.42287010670833,Average,Neutral,53,In Store,9,9,Sunday,39.737896802009
2023-01-01 10:00:00,10,2,3,17.30018943679034,South,Online,False,Cloudy,27.154342182681738,Good,Neutral,42,In Store,10,10,Sunday,51.90056831037102
2023-01-01 11:00:00,11,3,4,15.423235605139388,West,Online,False,Rainy,33.22228729383366,Poor,Positive,15,In Store,11,11,Sunday,61.69294242055755
2023-01-01 12:00:00,12,6,4,12.9873904915572,East,Online,True,Sunny,26.238704814462643,Poor,Positive,19,Online Order,12,12,Sunday,51.9495619662288
2023-01-01 13:00:00,13,7,2,11.732796075120625,East,Credit Card,False,Cloudy,30.805000537489896,Good,Negative,56,Phone Order,13,13,Sunday,23.46559215024125
2023-01-01 14:00:00,14,4,1,6.265885708168135,East,Cash,False,Cloudy,33.77427553069937,Good,Positive,36,Phone Order,14,14,Sunday,6.265885708168135
2023-01-01 15:00:00,15,2,2,10.990531225920364,West,Cash,True,Rainy,26.12060692404225,Good,Neutral,50,Phone Order,15,15,Sunday,21.981062451840728
2023-01-01 16:00:00,16,6,3,18.65201955173201,South,Credit Card,False,Rainy,22.86916056556096,Excellent,Negative,27,In Store,16,16,Sunday,55.956058655196045
2023-01-01 17:00:00,17,0,4,17.120339448598294,North,Cash,False,Rainy,27.75676896285379,Excellent,Positive,15,Phone Order,17,17,Sunday,68.48135779439318
2023-01-01 18:00:00,18,3,2,8.240770475175308,South,Credit Card,True,Cloudy,33.62125530589782,Poor,Positive,30,In Store,18,18,Sunday,16.481540950350617
2023-01-01 19:00:00,19,3,1,11.999116770458238,West,Cash,True,Rainy,32.06561621206551,Poor,Positive,55,Online Order,19,19,Sunday,11.999116770458238
2023-01-01 20:00:00,20,1,2,17.25084803837817,West,Online,False,Sunny,20.987447650447308,Poor,Positive,36,Phone Order,20,20,Sunday,34.50169607675634
2023-01-01 21:00:00,21,6,5,6.010768321782837,North,Cash,False,Rainy,30.38859200116373,Average,unknown,46,In Store,21,21,Sunday,30.053841608914187
2023-01-01 22:00:00,22,1,1,10.810888785029888,West,Credit Card,True,Rainy,28.578462836884302,Good,Positive,30,Phone Order,22,22,Sunday,10.810888785029888
2023-01-01 23:00:00,23,5,3,17.777618553109214,East,Credit Card,True,Cloudy,33.61194764519638,Poor,Neutral,29,Phone Order,23,23,Sunday,53.33285565932764
2023-01-02 00:00:00,24,1,4,11.058467962551855,East,Online,False,Rainy,21.837221252754457,Good,Neutral,56,Online Order,24,24,Monday,44.23387185020742
2023-01-02 01:00:00,25,5,2,6.1642196709716135,East,Credit Card,False,Cloudy,28.01054169806985,Excellent,Neutral,26,Phone Order,25,25,Monday,12.328439341943229
2023-01-02 02:00:00,26,5,1,13.138015527983772,East,Cash,False,Rainy,33.191940402678384,Good,unknown,15,Online Order,26,26,Monday,13.138015527983772
2023-01-02 03:00:00,27,3,5,17.926137423774428,East,Cash,True,Sunny,26.150356801126144,Average,unknown,31,Phone Order,27,27,Monday,89.63068711887215
2023-01-02 04:00:00,28,0,1,13.854283144297396,West,Online,False,Sunny,27.229923765993007,Average,Positive,55,Phone Order,28,28,Monday,13.854283144297396
2023-01-02 05:00:00,29,1,5,8.394186623213477,North,Credit Card,True,Cloudy,21.05691016500437,Good,Negative,42,Phone Order,29,29,Monday,41.970933116067386
2023-01-02 06:00:00,30,6,3,10.76359430206072,North,Online,True,Cloudy,24.172154606733663,Average,Positive,21,Phone Order,30,30,Monday,32.29078290618216
2023-01-02 07:00:00,31,5,4,11.751850417728985,East,Cash,True,Rainy,27.154342182681738,Average,Neutral,23,Phone Order,31,31,Monday,47.00740167091593
2023-01-02 08:00:00,32,3,3,13.688995307307902,West,Online,False,Rainy,34.1768367311733,Excellent,Positive,36,Phone Order,32,32,Monday,41.0669859219237
2023-01-02 09:00:00,33,4,2,16.390265386289194,South,Credit Card,False,Sunny,24.240010408117385,Poor,Negative,40,Online Order,33,33,Monday,32.78053077257839
2023-01-02 10:00:00,34,2,1,6.483104264609532,South,Online,False,Rainy,26.91303102904478,Average,Negative,26,Online Order,34,34,Monday,6.483104264609532
2023-01-02 11:00:00,35,0,5,18.344780495263496,West,Credit Card,True,Sunny,30.0695663534642,Poor,Positive,21,In Store,35,35,Monday,91.72390247631748
2023-01-02 12:00:00,36,8,5,5.184645545241134,East,Credit Card,False,Cloudy,27.154342182681738,Good,Positive,29,Phone Order,36,36,Monday,25.923227726205667
2023-01-02 13:00:00,37,4,1,10.550785020113828,North,Cash,True,Rainy,27.29663580712812,Good,Positive,52,Online Order,37,37,Monday,10.550785020113828
2023-01-02 14:00:00,38,2,1,5.411304649589865,West,Cash,True,Cloudy,31.078085592138613,Average,Negative,35,Phone Order,38,38,Monday,5.411304649589865
2023-01-02 15:00:00,39,4,2,10.894613380179369,South,Cash,True,Rainy,33.00282819540599,Good,Neutral,28,Phone Order,39,39,Monday,21.789226760358737
